AbsClampIATCall                        returned 0 writes, no hit
MStackClampMul10                       returned 0 writes, no hit
MStackCleanupFrom_StackPopDispatchTagged_004384a0 ran out  2 writes, no hit
MStackCleanupFrom_StackPopDispatchTagged_004384e0 ran out  2 writes, no hit
MStackCleanupFrom_StackPopDispatchTagged_00438520 ran out  2 writes, no hit
MStackDirtyArgsBit0                    returned 2 writes, no hit
MStackDualDiffSequencer                returned 6 writes, no hit
MStackDualPushSaveRestore              returned 3 writes, no hit
MStackFrameCdeclDouble                 returned 3 writes, no hit
MStackIndirectCallBit                  ran out  3 writes, no hit
MStackInitCallToggle                   returned 3 writes, no hit
MStackInitTriAlarm                     returned 22 writes, no hit
MStackInstallBodyChain                 returned 8 writes, no hit
MStackInstallBodyEqCheck               returned 2 writes, no hit
MStackInstallCountdown                 returned 10 writes, no hit
MStackJmpInstallSelf                   returned 7 writes, no hit
MStackLoopFieldInit                    returned 7 writes, no hit
MStackMagicModMul10                    returned 1 writes, no hit
MStackNegAwareMul10Pair                returned 3 writes, no hit
MStackPackedInit                       returned 0 writes, no hit
MStackPop4Rewrite                      returned 6 writes, no hit
MStackPop7                             returned 3 writes, no hit
MStackPop8                             returned 7 writes, no hit
MStackPush1ChainPair                   returned 7 writes, no hit
MStackPush1MagicMod2                   returned 1 writes, no hit
MStackPush2BiasResolveChain            ran out  6 writes, no hit
MStackPush2BitLoop                     returned 3 writes, no hit
MStackPush2Burst6Init                  returned 3 writes, no hit
MStackPush2ChainInsert                 returned 5 writes, no hit
MStackPush2ChainLLInsert               returned 5 writes, no hit
MStackPush2ChainPrepend                returned 8 writes, no hit
MStackPush2ChainSwap                   returned 3 writes, no hit
MStackPush2CjMul10Triple               returned 9 writes, no hit
MStackPush2ClampLookup                 returned 2 writes, no hit
MStackPush2DirtyCall                   returned 3 writes, no hit
MStackPush2DispatchChain               returned 7 writes, no hit
MStackPush2DualModMul10Pop2            returned 2 writes, no hit
MStackPush2GatedTail                   returned 8 writes, no hit
MStackPush2GlobalSwap                  returned 2 writes, no hit
MStackPush2GuardedFieldClear           returned 3 writes, no hit
MStackPush2LLWalkCompare               returned 3 writes, no hit
MStackPush2RunCountdown                returned 3 writes, no hit
MStackPush2ScaledChainLoop             returned 4 writes, no hit
MStackPush2TableNot                    returned 1 writes, no hit
MStackPush2TripleCallChain             ran out  6 writes, no hit
MStackPush2VolumeCascade               returned 10 writes, no hit
MStackPush3CallCascade                 returned 23 writes, no hit
MStackPush3CallChain                   returned 9 writes, no hit
MStackPush3CallChainBit2               returned 4 writes, no hit
MStackPush3CmpCall                     returned 2 writes, no hit
MStackPush3DualCallHalve               returned 0 writes, no hit
MStackPush3HelperCondToggle            returned 3 writes, no hit
MStackPush3InitCallChain               returned 7 writes, no hit
MStackPush3LinkedListWalk              returned 9 writes, no hit
MStackPush3LinkedListZeroWalk          returned 2 writes, no hit
MStackPush3MaskBit                     returned 1 writes, no hit
MStackPush3MaskBit0                    returned 1 writes, no hit
MStackPush3SideStore                   returned 1 writes, no hit
MStackPush3TripleMul10WithAbs          returned 0 writes, no hit
MStackPush4ChainCopyPop4               returned 19 writes, no hit
MStackPush4DualCallAbsPop4             returned 3 writes, no hit
MStackPush4IndirectCall                ran out  6 writes, no hit
MStackPush4LLWalkPop4                  returned 5 writes, no hit
MStackPush4VecInitPop4                 returned 17 writes, no hit
MStackPush5Func                        returned 41 writes, no hit
MStackPush6OpPop6                      returned 0 writes, no hit
MStackPush7                            returned 1 writes, no hit
MStackPush8                            returned 5 writes, no hit
MStackPush8CallbackInit                returned 15 writes, no hit
MStackPush8SlotInitPop8                returned 8 writes, no hit
MStackPushCallCallPop_func_00405b30    returned 9 writes, no hit
MStackPushCallCallPop_func_00405dd0    returned 3 writes, no hit
MStackPushCallCallPop_func_00405e20    ran out  19 writes, no hit
MStackPushCallPop                      returned 3 writes, no hit
MStackPushCallPopDirtyJmp_GuardedRangeCmpToggle returned 15 writes, no hit
MStackPushCallPopDirtyJmp_State208cBit0Flag returned 15 writes, no hit
MStackPushChainDispatchInit5           returned 3 writes, no hit
MStackPushChainStepIndex               returned 6 writes, no hit
MStackPushComplexCallPop_MStackPush2ChainPrepend_00406430 returned 4 writes, no hit
MStackPushComplexCallPop_MStackPush2ChainPrepend_004064b0 returned 7 writes, no hit
MStackPushDirtyTail                    ran out  18 writes, no hit
MStackPushDispatchBitGate              returned 4 writes, no hit
MStackPushDualJmp                      returned 10 writes, no hit
MStackPushInstall                      returned 2 writes, no hit
MStackPushMul10TailSqrt                returned 1 writes, no hit
MStackPushNegMul10                     returned 1 writes, no hit
MStackPushNegMul10Var                  returned 1 writes, no hit
MStackPushPairTriCall                  ran out  5 writes, no hit
MStackPushPtr1Jmp_00438e70             returned 46 writes, no hit
MStackPushPtr1Jmp_00438ef0             returned 33 writes, no hit
MStackPushSearchLoop                   returned 1 writes, no hit
MStackPushSet0001                      returned 1 writes, no hit
MStackPushSet0004                      returned 1 writes, no hit
MStackPushSet0008                      returned 1 writes, no hit
MStackPushSet0020                      returned 1 writes, no hit
MStackPushSet0040                      returned 1 writes, no hit
MStackPushSet0080                      returned 1 writes, no hit
MStackPushSet0200                      returned 1 writes, no hit
MStackPushSet0Jmp                      returned 35 writes, no hit
MStackPushSet4Jmp                      returned 41 writes, no hit
MStackPushSet6Jmp                      returned 40 writes, no hit
MStackPushSet9Jmp                      returned 4 writes, no hit
MStackPushSwapEqJmp_00474e80           returned 1 writes, no hit
MStackPushSwapEqJmp_00474ed0           returned 1 writes, no hit
MStackPushTableMatch                   returned 2 writes, no hit
MStackPushTableWalk                    returned 2 writes, no hit
MStackPushTripleFields                 returned 7 writes, no hit
MStackPushTwoEntryChainCall            returned 5 writes, no hit
MStackPushTyped_0044cf50               returned 2 writes, no hit
MStackPushTyped_0044cf80               returned 2 writes, no hit
MStackPushTyped_0044cfb0               returned 2 writes, no hit
MStackPushVec3Mul10                    returned 3 writes, no hit
MStackPushWaitChain                    returned 10 writes, no hit
MStackPushZeroCallPop                  returned 3 writes, no hit
MStackPushZeroCallPop_PendingMatch     returned 7 writes, no hit
MStackRestore27                        returned 5 writes, no hit
MStackScopedSlotSetupPair              returned 6 writes, no hit
MStackSignedMod                        returned 4 writes, no hit
MStackVecSetupScopedRun                returned 3 writes, no hit
MainLoopStep                           ran out  1 writes, no hit
MainTickChain                          returned 16 writes, no hit
MarkSlot                               returned 1 writes, no hit
MaskCall                               returned 0 writes, no hit
Mat3x3VecMul                           returned 0 writes, no hit
Mat3x3VecMul6Bit                       returned 0 writes, no hit
MatVec2Multiply                        returned 0 writes, no hit
MatchEndFadeFsmCluster                 returned 15 writes, no hit
MatchInitMonsterChain                  returned 5 writes, no hit
MatchOverCluster                       returned 17 writes, no hit
MatchPredicateCluster                  returned 1 writes, no hit
MatchStartCluster                      ran out  28 writes, no hit
MatchStartFsmCluster                   returned 4 writes, no hit
Match_ChampionScreen                   ran out  27 writes, no hit
Match_OutcomeScreen                    returned 45 writes, no hit
Match_TeamOutcomeScreen                ran out  25 writes, no hit
MatrixTransform3x3Q12                  returned 0 writes, no hit
MaxOfThree                             returned 0 writes, no hit
MbToWcsDispatcher                      ran out  0 writes, no hit
Mem_Free                               returned 0 writes, no hit
Mem_Malloc                             returned 4 writes, no hit
MemcpyByteN                            returned 0 writes, no hit
Memset18Step                           returned 0 writes, no hit
Menu_ColorDepthErrorDialog             returned 1029 writes, no hit
Menu_Direct3DUnavailableDialog         returned 273 writes, no hit
Menu_DirectDrawUnavailableDialog       returned 291 writes, no hit
Menu_FillColonField                    returned 0 writes, no hit
Menu_FillOptionValues                  ran out  858 writes, no hit
Menu_FindNextSelectable                returned 0 writes, no hit
Menu_FindPrevSelectable                returned 0 writes, no hit
Menu_GlideUnavailableDialog            returned 471 writes, no hit
Menu_HelpScreen                        returned 1279 writes, no hit
Menu_InsertCDDialog                    returned 612 writes, no hit
Menu_PauseMenu                         returned 255 writes, no hit
Menu_PollNavInput                      returned 0 writes, no hit
MeshReplicateDriver                    returned 22 writes, no hit
MinOfThree                             returned 0 writes, no hit
MkIntroFsm                             returned 13 writes, no hit
MkTowerScreenFsmCluster                returned 1 writes, no hit
ModMagicMul10Index                     returned 1 writes, no hit
ModelRenderDispatch                    returned 7 writes, no hit
ModuloMagic                            returned 0 writes, no hit
MovAndStoreRetJmp                      returned 1 writes, no hit
MoveCommitPackedDispatcher             returned 6 writes, no hit
MoveDispatch4StateFsm                  returned 12 writes, no hit
MoveFsmCluster                         ran out  45 writes, no hit
MoveListCursorCluster                  ran out  4 writes, no hit
MoveSelectorCluster                    returned 27 writes, no hit
MoveStackPipeline                      returned 1 writes, no hit
MovesPanelEmit                         returned 24 writes, no hit
MovsxAnd20Shr5                         returned 0 writes, no hit
MovsxAnd4Shr                           returned 0 writes, no hit
MstackPopScaledChainPlusThunks         returned 35 writes, no hit
MstackPushPackChainInit                returned 7 writes, no hit
Mul10HeavyTransform                    returned 12 writes, no hit
Mul10SumSqrt                           returned 3 writes, no hit
Mul10SumStoreNegCommit                 returned 9 writes, no hit
Mul10Tail                              returned 0 writes, no hit
Mul10Tail5xInterp                      returned 2 writes, no hit
Mul10TailPairChain                     returned 8 writes, no hit
Mul10TailPairMidChain                  returned 3 writes, no hit
Mul10ThresholdQuad                     returned 40 writes, no hit
Mul10Triple0xd999Interp                returned 11 writes, no hit
MultiBranchStateFilter                 returned 4 writes, no hit
MultiGateDispatchCallJmp               returned 4 writes, no hit
MultiPlayerWinStringFormat             returned 44 writes, no hit
MultiThunkDispatcher9                  returned 39 writes, no hit
MultiThunkDispatcher_ArgScaledTestStore returned 5 writes, no hit
MultiThunkDispatcher_MStackCall        ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
NegInstallNegSelfTrigPair              returned 7 writes, no hit
NegateThree                            returned 3 writes, no hit
NestedLoopDispatch                     returned 65 writes, no hit
NetEntityScanAndPunish                 returned 6 writes, no hit
NineEntryFlagDispatch                  returned 9 writes, no hit
NineFieldCopy                          returned 10 writes, no hit
NodeApplyMatrix                        returned 11 writes, no hit
NodeApplyTransform_A                   returned 8 writes, no hit
NodeApplyTransform_A_Direct            returned 8 writes, no hit
NodeApplyTransform_B                   returned 8 writes, no hit
NodeApplyTransform_B_Direct            returned 8 writes, no hit
NodeApplyTransform_B_Swapped           returned 2 writes, no hit
NodeApplyTransform_C                   returned 8 writes, no hit
NodeApplyTransform_C_Direct            returned 8 writes, no hit
NodeApplyTransform_C_Inverse           returned 8 writes, no hit
NodeChainMaskMatch                     returned 0 writes, no hit
NodeUnlink                             returned 1 writes, no hit
NodeWalkPoseUpdate                     returned 3 writes, no hit
NotMaskCallStore70                     returned 3 writes, no hit
NotMaskStorePair                       returned 0 writes, no hit
NotShrCmp1Store                        returned 1 writes, no hit
OnceCall                               ran out  12 writes, no hit
OneSetCmpJmpLoadCall                   returned 23 writes, no hit
OpcodeStreamDispatch                   ran out  1 writes, no hit
OrDualStore_0048a190                   returned 0 writes, no hit
OrDualStore_0048e4b0                   returned 0 writes, no hit
OrListLoop                             returned 0 writes, no hit
OrStoreDecStackPop                     returned 2 writes, no hit
OutroEventForwarderCluster             returned 2 writes, no hit
PackColor                              returned 0 writes, no hit
PackDoubleFromInts                     returned 0 writes, no hit
PackedAdvanceCallContinue              returned 5 writes, no hit
PackedAdvanceCallTailJmp               ran out  3 writes, no hit
PackedListVisitor                      returned 0 writes, no hit
PackedLoadAdvanceJmp                   ran out  7 writes, no hit
PackedSelectLoad6                      returned 2 writes, no hit
PackedTableWalkChainStore              returned 8 writes, no hit
PadEnumDeviceRebind                    returned 0 writes, no hit
PaddedLoopByteFunc                     returned 0 writes, no hit
PaddedLoopFunc                         returned 0 writes, no hit
PainStateCluster                       returned 17 writes, no hit
PairedSubInstallSelfBigChain           returned 15 writes, no hit
PairedTickGated                        returned 326 writes, no hit
PaletteFillLineHybrid                  returned 0 writes, no hit
PaletteRampInit                        returned 0 writes, no hit
PauseGuardChainTriple                  returned 16 writes, no hit
PauseTestCmp2CallStore                 returned 0 writes, no hit
PendingMatch_00416e20                  returned 13 writes, no hit
PendingMatch_0041dc00                  returned 7 writes, no hit
PendingMatch_0042d240                  ran out  26 writes, no hit
PendingMatch_0044a7f0                  returned 3 writes, no hit
PendingMatch_00459510                  ran out  4 writes, no hit
PendingMatch_0046cd30                  returned 15 writes, no hit
PendingMatch_004a2a80                  ran out  52 writes, no hit
PendingMatch_004bfc00                  ran out  0 writes, no hit
PendingMatch_004c7920                  returned 0 writes, no hit
PendingMatch_004ca970                  returned 0 writes, no hit
PendingMatch_004ce3f0                  returned 0 writes, no hit
PendingMatch_ArgSarStoreJmp_004411d0   returned 23 writes, no hit
PendingMatch_ArgSarStoreJmp_0044d7a0   returned 23 writes, no hit
PendingMatch_ArgSarStoreJmp_00452770   returned 0 writes, no hit
PendingMatch_ArgSarStoreJmp_00455bd0   returned 16 writes, no hit
PendingMatch_ArgSarStoreJmp_0046a6e0   ran out  5 writes, no hit
PendingMatch_ArgSarStoreJmp_00484da0   returned 46 writes, no hit
PendingMatch_ArgScaledTestStore        returned 18 writes, no hit
PendingMatch_AudioInitArgs3            returned 79 writes, no hit
PendingMatch_AudioMixerStep_0040b020   returned 5 writes, no hit
PendingMatch_AudioMixerStep_00473640   returned 7 writes, no hit
PendingMatch_BootStateTriple           returned 3 writes, no hit
PendingMatch_CallPauseScaledByteSet    returned 3 writes, no hit
PendingMatch_CallPauseScaledStoreCopyJmp ran out  17 writes, no hit
PendingMatch_ChainDirtyBitWalker       returned 12 writes, no hit
PendingMatch_ChainWalkPushPop_0040dbb0 returned 1 writes, no hit
PendingMatch_ChainWalkPushPop_00411890 returned 4 writes, no hit
PendingMatch_CmpCondIdxArrLookup       ran out  23 writes, no hit
PendingMatch_CondPlayerLookup          ran out  11 writes, no hit
PendingMatch_DirtyDoubleDeref_0041afd0 ran out  11 writes, no hit
PendingMatch_DirtyDoubleDeref_00443d20 returned 0 writes, no hit
PendingMatch_DirtyFlagsManip           returned 36 writes, no hit
PendingMatch_DispatcherComplex138      returned 3 writes, no hit
PendingMatch_DispatcherComplex260_MStackBracket1_TreeWalkRecursive2_004685d0 returned 8 writes, no hit
PendingMatch_DispatcherComplex260_MStackBracket1_TreeWalkRecursive2_00478da0 returned 6 writes, no hit
PendingMatch_DoubleScaledCrossStore    returned 32 writes, no hit
PendingMatch_DownloadPlayerChar        ran out  12 writes, no hit
PendingMatch_DualCmpSwapStore          returned 6 writes, no hit
PendingMatch_FiveCallGuardSetTail      returned 24 writes, no hit
PendingMatch_FiveTableWalkInit         returned 8 writes, no hit
PendingMatch_GatedWordPushCall         returned 7 writes, no hit
PendingMatch_LeaPlus22StoreSelf        returned 5 writes, no hit
PendingMatch_MStackBracket1_TreeWalkRecursive2_00447000 returned 5 writes, no hit
PendingMatch_MStackBracket1_TreeWalkRecursive2_00453e70 returned 4 writes, no hit
PendingMatch_MStackBracket1_TreeWalkRecursive2_00454510 returned 4 writes, no hit
PendingMatch_MStackBracket3_ChainSwapAdvance returned 5 writes, no hit
PendingMatch_MStackCall                ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
PendingMatch_MStackPush2BitLoop        returned 17 writes, no hit
PendingMatch_MStackPush2ChainLLInsert_00418170 ran out  6 writes, no hit
PendingMatch_MStackPush2ChainLLInsert_004a56c0 returned 2 writes, no hit
PendingMatch_MStackPush2LLWalkCompare  returned 4 writes, no hit
PendingMatch_MStackPush2RunCountdown_0040cd50 returned 15 writes, no hit
PendingMatch_MStackPush2RunCountdown_0044baa0 returned 10 writes, no hit
PendingMatch_MStackPush2RunCountdown_0044c530 returned 7 writes, no hit
PendingMatch_MStackPush2RunCountdown_004568b0 returned 9 writes, no hit
PendingMatch_MStackPush8_0040a8d0      returned 37 writes, no hit
PendingMatch_MStackPush8_0041bca0      returned 14 writes, no hit
PendingMatch_Mul10Tail_00419c90        returned 1 writes, no hit
PendingMatch_Mul10Tail_0044dd80        returned 2 writes, no hit
PendingMatch_Push16Call_00402540       ran out  25 writes, no hit
PendingMatch_Push16Call_004a3400       ran out  3 writes, no hit
PendingMatch_PushSarCallBitToggle      returned 4 writes, no hit
PendingMatch_PushSetXfmMaskCallPop_00413f40 returned 6 writes, no hit
PendingMatch_PushSetXfmMaskCallPop_00444ef0 returned 5 writes, no hit
PendingMatch_QuadCallPhase2            returned 5 writes, no hit
PendingMatch_SaveCallRestore           returned 5 writes, no hit
PendingMatch_ScaledArrStore_CallDualStoreXorBit ran out  9 writes, no hit
PendingMatch_ScaledIterStep            ran out  4 writes, no hit
PendingMatch_SetWalkCurCallPauseDirty  returned 15 writes, no hit
PendingMatch_SlotEvent3EntryChain      returned 32 writes, no hit
PendingMatch_StackPopDispatchTagged_004492f0 returned 15 writes, no hit
PendingMatch_StackPopDispatchTagged_00466fc0 returned 10 writes, no hit
PendingMatch_StoreDoubleNegPauseSubStore returned 24 writes, no hit
PendingMatch_StoreTailJmpSigned        returned 0 writes, no hit
PendingMatch_StoreTwoCall_004108a0     returned 18 writes, no hit
PendingMatch_StoreTwoCall_00411210     returned 17 writes, no hit
PendingMatch_StoreTwoCall_004155c0     returned 15 writes, no hit
PendingMatch_StoreTwoCall_004163c0     returned 13 writes, no hit
PendingMatch_StoreTwoCall_0042b930     returned 13 writes, no hit
PendingMatch_SwapOrPassSet             returned 0 writes, no hit
PendingMatch_TaggedSceneDispatch       returned 16 writes, no hit
PendingMatch_Ten404c40_404bd0          returned 0 writes, no hit
PendingMatch_Test4StatesAny            ran out  3 writes, no hit
PendingMatch_ThreeMul10Stores          returned 34 writes, no hit
PendingMatch_Thunk_ScaledNeg1SetPause  returned 13 writes, no hit
PendingMatch_TripleSubVec3             returned 14 writes, no hit
PendingMatch_ZeroAndDirty4_0040d1d0    returned 8 writes, no hit
PendingMatch_ZeroAndDirty4_00471e00    returned 17 writes, no hit
PendingMatch_ZeroNDwords               returned 10 writes, no hit
PendingMatch_ZeroThreeFields6c_then_ZeroThreeSlots returned 12 writes, no hit
PerSlotPhaseRouter_DualGatedStateYield_004605d0 returned 10 writes, no hit
PerSlotPhaseRouter_DualGatedStateYield_00460770 returned 10 writes, no hit
Phase1ChainAdvanceCallScale            returned 4 writes, no hit
Phase1ChainExtendedInitLoop            returned 8 writes, no hit
Phase1ChainExtendedInitLoop2           returned 13 writes, no hit
Phase1ChainSetupCallScale6             returned 8 writes, no hit
Phase1ContextSetup3Helpers             returned 23 writes, no hit
Phase1ContextSetupHelper               returned 14 writes, no hit
Phase1InitModelAdjustChain             returned 6 writes, no hit
Phase1SlotLinkAndInit                  ran out  16 writes, no hit
Phase2InitDispatchInstallSelf          returned 26 writes, no hit
Phase2InitSlotTreeWalk                 ran out  35 writes, no hit
Phase3DispatchScaleInstallSelf         returned 10 writes, no hit
Phase3IndirectInstallChain             returned 11 writes, no hit
Phase3InstallPackedSelf                returned 21 writes, no hit
Phase3InstallSelf                      ran out  25 writes, no hit
Phase3InstallSelfChain                 returned 19 writes, no hit
Phase3InstallTableCheck                ran out  0 writes, no hit
Phase3InstallVolToggle                 returned 6 writes, no hit
Phase3Packed3EntryDispatch             returned 4 writes, no hit
Phase3PackedInstallSelf                returned 22 writes, no hit
Phase4DispatchMultiInit                returned 81 writes, no hit
Phase4DualHelperTrampoline             returned 13 writes, no hit
Phase4EntryInstallChain                returned 4 writes, no hit
Phase4FivePackedDispatch               returned 33 writes, no hit
Phase4FivePackedHelpers                returned 13 writes, no hit
Phase4FourHelperChain                  returned 12 writes, no hit
Phase4FourPackedDispatch               returned 17 writes, no hit
Phase4InitWithChainCallback            returned 22 writes, no hit
Phase4MultiHelperInit                  returned 8 writes, no hit
Phase4SevenPackedDispatch              returned 25 writes, no hit
Phase4SlotInitPackedHelper             returned 7 writes, no hit
Phase4StateInit4Helpers                returned 4 writes, no hit
Phase4StateInitWithHelpers             returned 6 writes, no hit
Phase4ThreePackedInstallSelf           returned 3 writes, no hit
Phase4TrampolineMainHelper             returned 15 writes, no hit
Phase4TrampolineMainHelpers            returned 13 writes, no hit
Phase4TrampolineThreePacked            returned 12 writes, no hit
PhaseClampInstallSlot                  returned 7 writes, no hit
PhaseDispatchListAdvance               returned 14 writes, no hit
PhaseDispatchPair                      returned 4 writes, no hit
PhaseInstall2DInterpDispatch           returned 4 writes, no hit
PhaseInstallSelf3Step                  ran out  25 writes, no hit
PlayerCharSelector                     returned 2 writes, no hit
PollThenInit                           returned 42 writes, no hit
PopCallBitCmpPushCall                  returned 37 writes, no hit
PoseBlendDriver                        returned 11 writes, no hit
PoseChainAdvanceCluster                returned 7 writes, no hit
PoseChainInstallCluster                returned 13 writes, no hit
PoseCopyIdleCluster                    returned 16 writes, no hit
PoseFnInstallDualCluster               returned 29 writes, no hit
PoseFsm4StateInstall                   returned 35 writes, no hit
PoseFsmCluster_PendingMatch_00416e50   returned 14 writes, no hit
PoseFsmTriHelpers                      returned 6 writes, no hit
PoseGridGenerator                      ran out  5 writes, no hit
PoseStateInitNode                      returned 10 writes, no hit
PoseTreeBlendWalker                    returned 12 writes, no hit
PositionClampCluster                   returned 6 writes, no hit
PostStepDispatcher                     returned 16 writes, no hit
PreFight4StageSequencer                returned 3 writes, no hit
PreFightInstallCluster                 returned 7 writes, no hit
PrefixThunkInstallSelf3State           returned 40 writes, no hit
PresentFrame                           returned 0 writes, no hit
PrintfStubSigned                       returned 2 writes, no hit
ProjectTwoVertices                     returned 4 writes, no hit
ProjectVertex                          returned 2 writes, no hit
ProneAnimFsmCluster                    returned 19 writes, no hit
ProneFsmCluster                        returned 50 writes, no hit
PumpMessages                           ran out  0 writes, no hit
PunchAnimCluster                       returned 5 writes, no hit
PunchDispatcherCluster                 returned 23 writes, no hit
Push0_Push41d7d0                       returned 10 writes, no hit
Push0_Push463220_Jmp                   returned 36 writes, no hit
Push15PushDataCallWordCallJmp          returned 15 writes, no hit
Push16Call                             returned 0 writes, no hit
Push1eCallTestDirtyLoop                returned 4 writes, no hit
Push267_Push44eb60_Jmp                 returned 55 writes, no hit
Push2GlobalsCall                       returned 0 writes, no hit
Push3000010000Call                     returned 0 writes, no hit
Push48PreSetTwoStores                  returned 2 writes, no hit
Push70CallScaleArith                   returned 2 writes, no hit
Push70CallScaleArith2                  returned 2 writes, no hit
Push71_Push48caa0                      returned 13 writes, no hit
Push80SetWalkDualCallPop               returned 7 writes, no hit
Push80SetWalkNegDualCallPop            returned 7 writes, no hit
Push80TripleCallTailJmp                returned 21 writes, no hit
Push84CallTestInstallJmp               returned 10 writes, no hit
Push8d_Push413490                      returned 13 writes, no hit
Push8e_Push413690                      returned 13 writes, no hit
PushArgClearSetCallJmp                 returned 10 writes, no hit
PushArgPushNeg1Call                    returned 0 writes, no hit
PushBitFieldMergePop                   returned 2 writes, no hit
PushCallPauseDirtyClear                ran out  14 writes, no hit
PushCallPauseIncStoreSelfRecurse       returned 10 writes, no hit
PushCallPauseScaledJmpInd              returned 3 writes, no hit
PushCallPauseSet1Jmp                   returned 37 writes, no hit
PushCallPauseSetMaxThenCallPauseJmp    returned 9 writes, no hit
PushCallPauseStorePushDispatch         returned 19 writes, no hit
PushCallPopScaledJmpIndirect           ran out  4 writes, no hit
PushCallRetNopJmp                      returned 16 writes, no hit
PushCallScaledClearJmp                 returned 13 writes, no hit
PushCallScaledStore                    returned 14 writes, no hit
PushCallSet2147Jmp                     returned 9 writes, no hit
PushCallSignClampDualStore             returned 32 writes, no hit
PushCallStoreClearJmp                  returned 5 writes, no hit
PushCallTestByte4Jmp                   ran out  4 writes, no hit
PushChainAddCallPop                    returned 3 writes, no hit
PushCjWalkDispatchPop                  returned 2 writes, no hit
PushClampZeroOneCallPop                returned 1 writes, no hit
PushConstCall_LockIterTwoPath_1        ran out  1 writes, no hit
PushConstCall_Lock_0xd                 ran out  1 writes, no hit
PushConstCall_MStackAngleWrapDispatch_1 returned 3 writes, no hit
PushConstCall_TableLookupIatCall_0xd   ran out  1 writes, no hit
PushDualDerefClearPop                  returned 2 writes, no hit
PushFourCallPopBitJmp                  returned 46 writes, no hit
PushImmCallSetCallAdjustCall           returned 5 writes, no hit
PushNeg3CallRet                        ran out  1 writes, no hit
PushPlayerSwapCallClamp                returned 10 writes, no hit
PushPop84TripleCall                    returned 17 writes, no hit
PushPopCurrentSetFFFFFFFF              returned 0 writes, no hit
PushPopNotMaskSetWalk0xc               returned 2 writes, no hit
PushPopPendingTwoCalls                 returned 4 writes, no hit
PushPopScaled14                        returned 5 writes, no hit
PushPopScaled18                        returned 2 writes, no hit
PushPopScaled1cDoubleCall              ran out  9 writes, no hit
PushPopScaledInit343c                  returned 2 writes, no hit
PushPopState70Mask                     returned 0 writes, no hit
PushPopWalkDecMod                      returned 1 writes, no hit
PushPopWalkSet1006                     returned 1 writes, no hit
PushPopXformEntityCall                 returned 4 writes, no hit
PushSarCallBitToggle                   returned 2 writes, no hit
PushScaledIdxBitToggle                 returned 2 writes, no hit
PushScaledIdxStoreCallPop              returned 1 writes, no hit
PushSearchToggleBit                    returned 1 writes, no hit
PushSearchToggleBit0                   returned 1 writes, no hit
PushSetAddCallPop                      returned 6 writes, no hit
PushSetCallCleanup                     returned 4 writes, no hit
PushSetCallPop                         returned 8 writes, no hit
PushSetCallPopCj                       returned 1 writes, no hit
PushSetCallTailJmp                     ran out  7 writes, no hit
PushSetCj58CallPopWalk                 returned 1 writes, no hit
PushSetDualDeref                       returned 3 writes, no hit
PushSetEventQueueCallStore             returned 14 writes, no hit
PushSetXfmCallStoreCopy                returned 3 writes, no hit
PushSetXfmMaskCallPop                  returned 4 writes, no hit
PushStackAllocCall                     returned 5 writes, no hit
PushStackCallPauseSet0xa               returned 11 writes, no hit
PushZ2ArgCall                          ran out  1 writes, no hit
PushZeroCallRet                        returned 3 writes, no hit
PvpAngleDistSeed                       returned 1 writes, no hit
PvsMergeDriver                         returned 13 writes, no hit
Quad4EntryPushArg                      ran out  22 writes, no hit
Quad4SequencerInstall                  returned 11 writes, no hit
QuadBlockArgInstallChain               returned 2 writes, no hit
QuadBlockDispatch                      returned 44 writes, no hit
QuadBlockInstallChainThunks            returned 17 writes, no hit
QuadBlockSoundInit                     ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
QuadCallPauseJmp                       returned 12 writes, no hit
QuadCallPauseSetCallSeq                returned 12 writes, no hit
QuadCallPhase2                         ran out  11 writes, no hit
QuadCmpBitGateJmp                      returned 1 writes, no hit
QuadEntryChainPush                     returned 29 writes, no hit
QuadEntryGateChain                     returned 4 writes, no hit
QuadFieldEarlyJmpThenInstall           returned 2 writes, no hit
QuadGuardBitGateJmp                    returned 29 writes, no hit
QuadGuardedCjSet_00422fc0              ran out  6 writes, no hit
QuadGuardedCjSet_004230b0              ran out  6 writes, no hit
QuadInstallSelfChainStr                returned 15 writes, no hit
QuadInterpolator                       returned 4 writes, no hit
QuadInterpolatorV2                     returned 4 writes, no hit
QuadMul10TailFpuChain                  returned 3 writes, no hit
QuadPackedInstallSelfChain             returned 16 writes, no hit
QuadStageStateDispatch                 returned 2 writes, no hit
QuadStateHandler                       returned 37 writes, no hit
QuadStringStateGate                    returned 31 writes, no hit
QuadSubVec2GateInstallSelfPair         returned 43 writes, no hit
QueryMicroTimer                        ran out  0 writes, no hit
R2_Cleanup                             returned 0 writes, no hit
R2_Init10                              returned 0 writes, no hit
R2_Init11                              returned 0 writes, no hit
R2_Init2                               returned 0 writes, no hit
R2_Init3                               ran out  2 writes, no hit
R2_Init4                               returned 0 writes, no hit
R2_Init6                               returned 0 writes, no hit
R2_Init7                               returned 0 writes, no hit
R2_Init8                               returned 0 writes, no hit
R2_Init9                               returned 0 writes, no hit
RaiseAbortLocalized                    returned 0 writes, no hit
